Product,Month,Sales,Quantity Ordered,Month_Num,Quarter,Lag_1,Lag_2,Rolling_3
20in Monitor,2019-04-01,43226.07,393.0,4,2,35856.74,27057.539999999997,28854.04333333333
20in Monitor,2019-05-01,37506.59,341.0,5,2,43226.07,35856.74,35380.11666666666
20in Monitor,2019-06-01,35416.78,322.0,6,2,37506.59,43226.07,38863.13333333333
20in Monitor,2019-07-01,35966.729999999996,327.0,7,3,35416.78,37506.59,38716.479999999996
20in Monitor,2019-08-01,28707.39,261.0,8,3,35966.729999999996,35416.78,36296.7
20in Monitor,2019-09-01,30467.23,277.0,9,3,28707.39,35966.729999999996,33363.633333333324
20in Monitor,2019-10-01,47185.71,429.0,10,4,30467.23,28707.39,31713.78333333333
20in Monitor,2019-11-01,46195.799999999996,420.0,11,4,47185.71,30467.23,35453.44333333333
20in Monitor,2019-12-01,62584.31,569.0,12,4,46195.799999999996,47185.71,41282.91333333333
27in 4K Gaming Monitor,2019-04-01,220734.34,566.0,4,2,186805.21,166525.73,158335.94
27in 4K Gaming Monitor,2019-05-01,211374.58000000002,542.0,5,2,220734.34,186805.21,191355.09333333335
27in 4K Gaming Monitor,2019-06-01,175885.49,451.0,6,2,211374.58000000002,220734.34,206304.71
27in 4K Gaming Monitor,2019-07-01,188365.17,483.0,7,3,175885.49,211374.58000000002,202664.80333333334
27in 4K Gaming Monitor,2019-08-01,171595.6,440.0,8,3,188365.17,175885.49,191875.08
27in 4K Gaming Monitor,2019-09-01,148586.19,381.0,9,3,171595.6,188365.17,178615.42
27in 4K Gaming Monitor,2019-10-01,281962.77,723.0,10,4,148586.19,171595.6,169515.65333333332
27in 4K Gaming Monitor,2019-11-01,224244.25,575.0,11,4,281962.77,148586.19,200714.85333333336
27in 4K Gaming Monitor,2019-12-01,336951.36,864.0,12,4,224244.25,281962.77,218264.40333333332
27in FHD Monitor,2019-04-01,110392.64000000001,736.0,4,2,91193.92000000001,71245.25,75094.99333333332
27in FHD Monitor,2019-05-01,103343.11,689.0,5,2,110392.64000000001,91193.92000000001,90943.93666666665
27in FHD Monitor,2019-06-01,85044.33,567.0,6,2,103343.11,110392.64000000001,101643.22333333333
27in FHD Monitor,2019-07-01,91043.93000000001,607.0,7,3,85044.33,103343.11,99593.35999999999
27in FHD Monitor,2019-08-01,73645.09000000001,491.0,8,3,91043.93000000001,85044.33,93143.78999999998
27in FHD Monitor,2019-09-01,72445.17,483.0,9,3,73645.09000000001,91043.93000000001,83244.45
27in FHD Monitor,2019-10-01,118642.09000000001,791.0,10,4,72445.17,73645.09000000001,79044.72999999998
27in FHD Monitor,2019-11-01,107842.81000000001,719.0,11,4,118642.09000000001,72445.17,88244.11666666665
27in FHD Monitor,2019-12-01,144290.38,962.0,12,4,107842.81000000001,118642.09000000001,99643.35666666664
34in Ultrawide Monitor,2019-04-01,248513.46,654.0,4,2,198354.78,158835.82,158835.81999999998
34in Ultrawide Monitor,2019-05-01,206714.56,544.0,5,2,248513.46,198354.78,201901.3533333333
34in Ultrawide Monitor,2019-06-01,172895.45,455.0,6,2,206714.56,248513.46,217860.93333333332
34in Ultrawide Monitor,2019-07-01,175555.38,462.0,7,3,172895.45,206714.56,209374.49
34in Ultrawide Monitor,2019-08-01,144396.2,380.0,8,3,175555.38,172895.45,185055.12999999998
34in Ultrawide Monitor,2019-09-01,144016.21,379.0,9,3,144396.2,175555.38,164282.34333333332
34in Ultrawide Monitor,2019-10-01,254973.29,671.0,10,4,144016.21,144396.2,154655.92999999996
34in Ultrawide Monitor,2019-11-01,209374.49,551.0,11,4,254973.29,144016.21,181128.56666666665
34in Ultrawide Monitor,2019-12-01,322611.51,849.0,12,4,209374.49,254973.29,202787.99666666667
AA Batteries (4-pack),2019-04-01,10832.64,2821.0,4,2,8509.44,6662.4,6879.999999999981
AA Batteries (4-pack),2019-05-01,9154.56,2384.0,5,2,10832.64,8509.44,8668.15999999998
AA Batteries (4-pack),2019-06-01,8048.639999999999,2096.0,6,2,9154.56,10832.64,9498.879999999981
AA Batteries (4-pack),2019-07-01,7952.639999999999,2071.0,7,3,8048.639999999999,9154.56,9345.279999999979
AA Batteries (4-pack),2019-08-01,7019.5199999999995,1828.0,8,3,7952.639999999999,8048.639999999999,8385.279999999979
AA Batteries (4-pack),2019-09-01,6800.639999999999,1771.0,9,3,7019.5199999999995,7952.639999999999,7673.59999999998
AA Batteries (4-pack),2019-10-01,11289.6,2940.0,10,4,6800.639999999999,7019.5199999999995,7257.59999999998
AA Batteries (4-pack),2019-11-01,10080.0,2625.0,11,4,11289.6,6800.639999999999,8369.91999999998
AA Batteries (4-pack),2019-12-01,14300.16,3724.0,12,4,10080.0,11289.6,9390.07999999998
AAA Batteries (4-pack),2019-04-01,8787.61,2939.0,4,2,7412.210000000001,5896.280000000001,6025.846666666647
AAA Batteries (4-pack),2019-05-01,8751.730000000001,2927.0,5,2,8787.61,7412.210000000001,7365.366666666648
AAA Batteries (4-pack),2019-06-01,6464.38,2162.0,6,2,8751.730000000001,8787.61,8317.183333333314
AAA Batteries (4-pack),2019-07-01,7071.35,2365.0,7,3,6464.38,8751.730000000001,8001.239999999981
AAA Batteries (4-pack),2019-08-01,6042.79,2021.0,8,3,7071.35,6464.38,7429.153333333315
AAA Batteries (4-pack),2019-09-01,5749.77,1923.0,9,3,6042.79,7071.35,6526.173333333314
AAA Batteries (4-pack),2019-10-01,10055.37,3363.0,10,4,5749.77,6042.79,6287.96999999998
